Neighborhood,Store,Zip Code,Latitude,Longitude
Allston,Star Market,02135,42.36,-71.14
Allston,Hong Kong Supermarket,02134,42.35,-71.13
Back Bay,Star Market,02199,42.35,-71.08
Back Bay,Trader Joe's,02115,42.35,-71.08
Brighton,Whole Foods Market,02135,42.34,-71.14
Brighton,Star Market,02135,42.35,-71.12
Allston,Super Stop & Shop,02134,42.36,-71.14
Dorchester,America's Food Basket,02122,42.30,-71.06
Dorchester,America's Food Basket,02124,42.29,-71.07
Dorchester,Star Market,02124,42.32,-71.05
Mattapan,Star Market,02124,42.27,-71.07
Dorchester,Super Stop & Shop,02122,42.29,-71.05
Dorchester,Kam Man Food,02125,42.33,-71.06
Dorchester,Super Stop & Shop,02122,42.33,-71.07
East Boston,Shaw's,02128,42.38,-71.04
Fenway,Whole Foods Market,02115,42.34,-71.09
Fenway,Star Market,02115,42.34,-71.10
Hyde Park,America's Food Basket,02136,42.27,-71.12
Hyde Park,Shaw's,02136,42.25,-71.13
Hyde Park,Stop & Shop,02136,42.24,-71.13
Hyde Park,Price Rite,02136,42.26,-71.11
Jamaica Plain,Harvest Co-Op Market,02130,42.30,-71.12
Jamaica Plain,Whole Foods Market,02130,42.32,-71.11
Jamaica Plain,Stop & Shop,02130,42.32,-71.10
Mission Hill,Stop & Shop,02120,42.33,-71.10
Roslindale,Save A Lot,02131,42.28,-71.11
Roslindale,The Village Market,02131,42.29,-71.13
Roslindale,Stop & Shop,02131,42.28,-71.11
Roxbury,Save A Lot,02119,42.32,-71.08
Roxbury,Stop & Shop,02121,42.31,-71.08
Roxbury,Tropical Foods,02119,42.33,-71.08
South Boston,Foodie's Urban Market,02127,42.34,-71.05
South Boston,Stop & Shop,02127,42.34,-71.04
South End,Foodie's Urban Market,02118,42.34,-71.07
South End/Chinatown,Ming's Supermarket,02118,42.34,-71.07
South End/Chinatown,C-Mart Supermarket,02118,42.35,-71.06
West End,Whole Foods Market,02114,42.36,-71.07
West Roxbury,Roche Brothers,02132,42.29,-71.15
West Roxbury,Star Market,02132,42.28,-71.16
Charlestown,Whole Foods Market,02129,42.38,-71.07
Downtown,Roche Brothers,02111,42.36,-71.06
South End,Whole Foods Market,02118,42.35,-71.06
Allston,BFresh,02134,42.35,-71.13
Leather District,C-Mart Supermarket,02118,42.35,-71.06
Fenway,Wollaston's Market,,42.34,-71.09
North End,Golden Goose,,42.36,-71.05
Dorchester,Brothers Supermarket,,42.32,-71.07
Dorchester,Brothers Supermarket,,42.31,-71.08
Mattapan,America's Food Basket,02126,42.27,-71.09
Dorchester,America's Food Basket,02122,42.31,-71.07
Allston,Bazaar on Cambridge St,02134,42.35,-71.13
South Boston Waterfront,Foodie's Urban Market,02118,42.34,-71.05
Downtown,Jia Ho Supermarket,02111,42.35,-71.06
Dorchester,New Vien Dong Far East Supermarket,02125,42.31,-71.06
Dorchester,New York Mart,02124,42.27,-71.07
Dorchester,Phu Chong Market,02125,42.31,-71.06
Dorchester,Troung Thinh 2,02122,42.31,-71.06
Dorchester,Daily Table,02124,42.30,-71.07
West End,Star Market,02114,42.37,-71.06
