Neighborhood,Total Population,White Alone,%,Black/African-American,%,Hispanic or Latino,%,Asian/Pacific Islander,%,Multiple or Other Races,%
Allston,"31,810","15,926",50.1%,"1,745",5.5%,"4,124",13.0%,"7,955",25.0%,"2,060",6.5%
Back Bay,"18,983","13,593",71.6%,726,3.8%,"1,266",6.7%,"2,562",13.5%,838,4.4%
Beacon Hill,"9,327","7,528",80.7%,252,2.7%,528,5.7%,635,6.8%,384,4.1%
Brighton,"55,869","34,316",61.4%,"2,747",4.9%,"5,896",10.6%,"9,762",17.5%,"3,148",5.6%
Charlestown,"19,232","13,833",71.9%,969,5.0%,"2,027",10.5%,"1,644",8.5%,758,3.9%
Chinatown,"6,371","1,904",29.9%,262,4.1%,457,7.2%,"3,557",55.8%,191,3.0%
Dorchester,"123,056","28,411",23.1%,"42,260",34.3%,"24,975",20.3%,"14,006",11.4%,"13,403",10.9%
Downtown,"15,752","9,928",63.0%,637,4.0%,"1,111",7.1%,"3,489",22.1%,587,3.7%
East Boston,"46,892","17,228",36.7%,"1,589",3.4%,"23,473",50.1%,"2,147",4.6%,"2,456",5.2%
Fenway,"42,351","22,713",53.6%,"2,525",6.0%,"4,018",9.5%,"10,822",25.6%,"2,272",5.4%
Hyde Park,"33,469","7,631",22.8%,"15,345",45.8%,"7,985",23.9%,719,2.1%,"1,790",5.3%
Jamaica Plain,"42,949","23,028",53.6%,"4,866",11.3%,"9,262",21.6%,"3,325",7.7%,"2,468",5.7%
Longwood,"5,553","3,833",69.0%,352,6.3%,527,9.5%,653,11.8%,187,3.4%
Mattapan,"24,424","1,539",6.3%,"16,738",68.5%,"4,122",16.9%,499,2.0%,"1,527",6.3%
Mission Hill,"19,000","7,430",39.1%,"2,523",13.3%,"3,483",18.3%,"4,707",24.8%,859,4.5%
North End,"10,635","9,171",86.2%,142,1.3%,507,4.8%,441,4.1%,375,3.5%
Roslindale,"29,378","14,015",47.7%,"5,757",19.6%,"7,131",24.3%,977,3.3%,"1,497",5.1%
Roxbury,"56,800","7,733",13.6%,"23,362",41.1%,"17,033",30.0%,"3,602",6.3%,"5,070",8.9%
South Boston,"40,904","31,456",76.9%,"1,644",4.0%,"4,173",10.2%,"2,274",5.6%,"1,357",3.3%
South Boston Waterfront,"8,289","6,332",76.4%,253,3.1%,484,5.8%,739,8.9%,481,5.8%
South End,"34,582","19,218",55.6%,"3,666",10.6%,"4,381",12.7%,"5,773",16.7%,"1,544",4.5%
West End,"9,306","5,900",63.4%,423,4.5%,750,8.1%,"1,714",18.4%,519,5.6%
West Roxbury,"31,381","20,994",66.9%,"3,263",10.4%,"3,484",11.1%,"2,398",7.6%,"1,242",4.0%
Boston,"716,313","323,660",45.2%,"132,046",18.4%,"131,197",18.3%,"84,400",11.8%,"45,013",6.3%
