Neighborhood,Estimate,95% Confidence Intervals
Allston,19.6,(15.7?23.4) 
Back Bay,20.3,(16.3?24.3) 
Beacon Hill,20.3,(16.3?24.3) 
Brighton,19.6,(15.7?23.4) 
Charlestown,22.9,(16.7?29.0) 
Chinatown,28.4,(22.3?34.4) 
Dorchester,33.35,(31.3?38.2) 
Downtown,20.3,(16.3?24.3) 
East Boston,25.7,(21.0?30.4) 
Fenway,14.5,(9.3?19.6) 
Hyde Park,30.8,(26.0?35.7) 
Jamaica Plain,21.6,(17.7?25.5) 
Longwood,14.5,(9.3?19.6) 
Mattapan,40,(33.5?46.4) 
Mission Hill,30.6,(26.0?35.2) 
North End,20.3,(16.3?24.3) 
Roslindale,27.2,(22.5?32.0) 
Roxbury,30.6,(26.0?35.2) 
South Boston,28.4,(22.3?34.4) 
South Boston Waterfront,28.4,(22.3?34.4) 
South End,23,(18.0?28.0)
West End,20.3,(16.3?24.3) 
West Roxbury,23.8,(19.2?28.4) 
